kategory1,mood1,kategory2,mood2
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
hygiene,6,sleep,0
food,7,hygiene,7
onTheWay,6,food,7
onTheWay,6,onTheWay,6
Study,6,onTheWay,6
Study,6,Study,6
Study,6,Study,6
Study,6,Study,6
Study,6,Study,6
onTheWay,5,onTheWay,6
onTheWay,5,onTheWay,5
food,6,food,6
food,7,freeTime,7
Study,7,freeTime,7
Study,6,Study,7
Study,6,Study,6
Study,5,Study,6
Study,5,Study,6
Study,5,Study,5
Study,4,Study,5
Study,4,freeTime,6
food,5,food,6
food,5,food,7
Study,5,Study,7
Study,5,Study,6
Study,4,Study,6
Study,4,Study,6
Study,3,Study,5
Study,3,Study,5
Study,3,freeTime,6
Study,3,freeTime,7
Study,3,freeTime,7
Study,3,freeTime,7
Study,2,freeTime,7
Study,2,hygiene,6
Study,2,sleep,0
Study,2,sleep,0
Study,2,sleep,0
hygiene,2,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
Study,5,sleep,0
Study,4,sleep,0
Study,4,sleep,0
Study,4,sleep,0
Study,4,hygiene,7
Study,4,food,7
Study,4,food,6
Study,4,Study,6
Study,4,Study,6
hygiene,3,freeTime,6
onTheWay,5,onTheWay,7
onTheWay,5,onTheWay,6
food,6,food,6
Study,6,Study,6
Study,6,Study,6
Study,5,Study,6
Study,5,Study,6
onTheWay,5,onTheWay,6
onTheWay,5,onTheWay,5
Study,5,food,6
food,7,food,7
Study,7,freeTime,7
Study,6,freeTime,7
Study,4,Study,7
Study,3,Study,7
Study,3,Study,7
food,4,Study,6
food,4,food,6
Study,4,food,7
Study,5,freeTime,7
Study,6,Study,7
freeTime,6,Study,6
freeTime,6,freeTime,7
freeTime,6,freeTime,7
hygiene,6,freeTime,7
sleep,0,hygiene,7
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
hygiene,6,hygiene,7
food,6,food,7
food,6,food,6
Study,6,freeTime,7
Study,6,Study,7
Study,6,Study,7
Study,5,Study,6
Study,5,Study,6
Study,5,Study,6
food,6,Study,6
Study,6,food,6
Study,5,food,7
Study,5,Study,6
Study,4,Study,6
Study,4,Study,5
Study,4,freeTime,7
Study,3,freeTime,7
Study,3,Study,7
food,4,Study,6
Study,3,Study,6
Study,2,Study,5
Study,2,Study,5
Study,2,food,6
Study,1,food,6
Study,1,freeTime,7
Study,1,Study,6
food,2,Study,6
food,3,Study,5
Study,2,freeTime,6
Study,1,freeTime,6
hygiene,2,hygiene,6
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
hygiene,4,hygiene,6
food,6,food,6
Study,4,freeTime,7
Study,4,freeTime,7
onTheWay,4,onTheWay,7
onTheWay,4,onTheWay,7
Study,4,Study,7
Study,4,Study,6
Study,4,Study,6
Study,3,Study,6
Study,3,Study,6
Study,3,Study,6
Study,3,Study,5
Study,3,food,6
food,5,food,6
Study,4,freeTime,7
Study,4,freeTime,7
Study,3,Study,7
Study,3,Study,6
Study,3,Study,6
Study,2,Study,5
Study,2,Study,5
Study,2,onTheWay,5
Study,2,onTheWay,6
onTheWay,2,food,6
onTheWay,3,food,6
food,4,freeTime,7
Study,2,Study,5
Study,6,Study,3
Study,1,Study,3
Study,1,freeTime,5
freeTime,4,freeTime,6
hygiene,3,hygiene,6
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,hygiene,6
hygiene,3,food,6
food,4,freeTime,6
food,4,freeTime,7
Study,4,freeTime,7
Study,4,freeTime,7
Study,3,onTheWay,7
Study,3,onTheWay,6
Study,3,onTheWay,6
Study,2,onTheWay,6
food,4,onTheWay,6
food,4,food,6
Study,3,food,7
Study,3,Study,7
Study,3,Study,6
Study,2,Study,6
Study,2,Study,5
Study,2,freeTime,6
Study,2,Study,6
Study,2,Study,6
Study,1,freeTime,6
Study,1,Study,6
Study,1,Study,6
food,2,Study,5
food,2,food,6
Study,1,food,6
Study,1,Study,6
Study,1,Study,5
freeTime,2,Study,5
freeTime,2,freeTime,6
freeTime,4,freeTime,6
freeTime,4,freeTime,7
hygiene,4,hygiene,7
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
hygiene,4,sleep,0
food,5,sleep,0
food,5,hygiene,7
Study,4,food,7
Study,4,food,7
Study,3,freeTime,7
Study,3,Study,7
food,4,Study,7
freeTime,5,Study,6
Study,4,Study,6
Study,3,Study,6
Study,2,Study,5
onTheWay,4,freeTime,6
onTheWay,5,freeTime,7
onTheWay,5,Study,7
onTheWay,5,Study,6
onTheWay,4,Study,6
onTheWay,3,Study,6
onTheWay,3,Study,5
food,5,Study,5
food,5,food,6
Study,5,food,6
Study,4,freeTime,7
Study,3,freeTime,7
Study,2,Study,6
Study,2,Study,6
Study,2,Study,5
food,4,Study,5
food,5,food,6
freeTime,5,freeTime,7
freeTime,6,freeTime,7
freeTime,6,freeTime,7
freeTime,6,freeTime,7
hygiene,6,hygiene,6
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
sleep,0,sleep,0
hygiene,6,sleep,0
food,6,hygiene,7
food,6,food,7
Study,4,freeTime,7
Study,3,freeTime,7
Study,2,Study,7
Study,2,Study,6
food,5,food,7
Study,3,Study,7
Study,3,Study,6
Study,2,Study,6
Study,2,Study,6
Study,2,Study,5
Study,1,freeTime,6
Study,1,freeTime,7
food,4,Study,7
food,5,Study,6
Study,2,Study,5
Study,2,food,6
Study,1,food,7
Study,1,Study,6
Study,1,Study,6
Study,1,Study,5
food,3,freeTime,6
freeTime,5,freeTime,7
Study,3,food,7
Study,2,food,7
Study,2,Study,6
Study,1,Study,6
freeTime,3,freeTime,6
freeTime,4,freeTime,7
hygiene,4,hygiene,7
